일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
2022-05-01,서울(108),X,17.9,19.2,13.4,7.9,54.8,X, ,X,매우높음
2022-05-02,서울(108),X,18.1,19.4,14.2,9.1,56.5,X, ,X,매우높음
2022-05-03,서울(108),X,19.2,20.8,14.8,9.1,45.9,X, ,X,매우높음
2022-05-04,서울(108),X,24,25.2,17.8,10,43.3,X, ,X,높음
2022-05-05,서울(108),X,24.6,25.8,18.9,12.5,48.1,X, ,X,높음
2022-05-06,서울(108),X,25.3,25.6,19.6,13.7,67.1,X, ,X,높음
2022-05-07,서울(108),X,21.3,23.1,18.4,15.3,52.4,X, ,X,높음
2022-05-08,서울(108),X,17.6,18.2,15.3,11.7,51.8,X, ,X,보통
2022-05-09,서울(108),X,23.8,25.3,17.9,11,56.4,X, ,X,높음
2022-05-10,서울(108),X,23.2,26.3,19.9,13.6,39,X, ,X,높음
2022-05-11,서울(108),X,24.3,25.2,19.7,16.6,50,X, ,X,높음
2022-05-12,서울(108),X,26.6,28.1,20.9,14.1,51.5,X, ,X,높음
2022-05-13,서울(108),X,24,25.2,19.4,15,45.8,X, ,X,보통
2022-05-14,서울(108),X,19.3,20,15.7,11.9,45.5,X, ,X,매우높음
2022-05-15,서울(108),X,20.8,22.4,16.2,10.5,39.8,X, ,X,매우높음
2022-05-16,서울(108),X,22.8,23.7,17.3,10.9,56,X, ,X,매우높음
2022-05-17,서울(108),X,26.5,27.4,20,13,60,X, ,X,매우높음
2022-05-18,서울(108),X,24.8,25.4,20,15.7,59.4,X, ,X,높음
2022-05-19,서울(108),X,24,24.2,19.9,16.1,53.6,X, ,X,매우높음
2022-05-20,서울(108),X,25.1,25.8,20.6,15.6,52.8,X, ,X,높음
2022-05-21,서울(108),X,26.2,26,20.1,16.1,70.8,X, ,X,매우높음
2022-05-22,서울(108),X,26.2,25.8,20.3,15.7,70.9,X, ,X,매우높음
2022-05-23,서울(108),X,29.9,30.7,23,17.8,63.5,X, ,X,매우높음
2022-05-24,서울(108),X,28.5,30.2,22.9,16.7,56.8,X, ,X,매우높음
2022-05-25,서울(108),X,26.3,26.7,21,16.7,66.6,X, ,X,매우높음
2022-05-26,서울(108),X,22.4,23.5,18.7,14.1,59.9,X, ,X,매우높음
2022-05-27,서울(108),X,25.5,25.6,20,16,62.5,X, ,X,높음
2022-05-28,서울(108),X,28.3,29.3,22.3,15,54.1,X, ,X,매우높음
2022-05-29,서울(108),X,28.8,29.7,23.1,19.3,66.4,X, ,X,높음
2022-05-30,서울(108),X,25.7,24.7,20.8,17.2,71,X, ,X,보통
2022-05-31,서울(108),X,25,27.2,20.7,14.2,42.4,X, ,X,매우높음
2022-06-01,서울(108),X,26.1,28.6,22.1,16.2,41.6,X, ,X,매우높음
2022-06-02,서울(108),X,27,26.9,21.5,17.1,67.4,X, ,X,매우높음
2022-06-03,서울(108),X,30.7,32.6,24.5,18.7,62.8,X, ,X,매우높음
2022-06-04,서울(108),X,28.8,29.7,25.6,20.3,57,X, ,X,높음
2022-06-05,서울(108),X,26.1,27,22.7,20.2,59.8,X, ,X,보통
2022-06-06,서울(108),X,24.1,24.5,19.7,16.7,69,X, ,X,보통
2022-06-07,서울(108),X,24,25.1,20.6,15.1,54.5,X, ,X,낮음
2022-06-08,서울(108),X,25.4,25.8,21.2,16.2,61.6,X, ,X,매우높음
2022-06-09,서울(108),X,24.9,24.5,20.9,18.5,76.1,X, ,X,높음
2022-06-10,서울(108),X,26.5,26.6,20.9,17.2,75.8,X, ,X,매우높음
2022-06-11,서울(108),X,30.7,32.7,24.6,17.7,59.6,X, ,X,매우높음
2022-06-12,서울(108),X,29.7,31.5,24.6,18.9,58.9,X, ,X,높음
2022-06-13,서울(108),X,29,29.2,23.6,19.6,68.5,X, ,X,보통
2022-06-14,서울(108),X,26.1,27.1,21.5,17.7,56.4,X, ,X,보통
2022-06-15,서울(108),X,22.5,20.1,17.5,14.9,92.4,X, ,X,보통
2022-06-16,서울(108),X,24.9,24.8,20.3,17.6,78.4,X, ,X,매우높음
2022-06-17,서울(108),X,28.4,28.1,22.5,16.5,76.4,X, ,X,보통
2022-06-18,서울(108),X,26.7,25.1,23.3,22,79.6,X,관심,X,보통
2022-06-19,서울(108),X,26.7,25.1,23.4,22.3,81.6,X,관심,X,높음
2022-06-20,서울(108),X,29.6,29,25.2,22,76.6,X,관심,X,보통
2022-06-21,서울(108),X,32.4,32.6,26.5,21.2,72.6,X,관심,X,매우높음
2022-06-22,서울(108),X,30.7,31,25.9,21.9,71.1,X,관심,X,높음
2022-06-23,서울(108),X,28.6,26.4,24.3,23.3,89.1,X, ,X,보통
2022-06-24,서울(108),X,26.8,24.9,22.6,20.6,90.9,X, ,X,높음
2022-06-25,서울(108),X,31.9,30.5,26,21.5,80.4,O,관심,X,매우높음
2022-06-26,서울(108),X,30.1,28.1,26.5,24.8,82.1,O,관심,O,높음
2022-06-27,서울(108),X,30.1,28.1,26.8,25.4,84.4,X,주의,O,보통
2022-06-28,서울(108),X,29.7,27.9,26.9,25.7,81.9,X, ,X,보통
2022-06-29,서울(108),X,29.1,26.1,25.1,24.4,95.5,X, ,X,보통
2022-06-30,서울(108),X,27.8,24.5,22.3,21.2,99.3,X,관심,X,보통
2022-07-01,서울(108),X,31.8,30.9,26.6,21.9,83.3,O,관심,X,높음
2022-07-02,서울(108),O,33.7,33.8,28.8,24,72.8,O,주의,X,매우높음
2022-07-03,서울(108),O,33.7,34.2,29.3,24.4,68.6,O,주의,O,매우높음
2022-07-04,서울(108),O,33.1,32.6,29.3,26.4,71.8,O,주의,O,높음
2022-07-05,서울(108),O,33.7,33.1,29.2,26.7,73.8,O,경고,O,매우높음
2022-07-06,서울(108),O,34.1,33.3,29.5,26.2,76,O,경고,O,높음
2022-07-07,서울(108),X,32.7,31,28.2,26.4,82.3,O,경고,X,높음
2022-07-08,서울(108),X,29.6,27.9,25.8,24,84.4,X,관심,X,높음
2022-07-09,서울(108),X,32,30.9,26.9,24,82.1,O,주의,X,높음
2022-07-10,서울(108),O,34.6,35.1,29.2,24.6,68,O,주의,X,매우높음
2022-07-11,서울(108),X,31.3,30.6,27,24.7,75,X,주의,X,매우높음
2022-07-12,서울(108),X,30.7,29.4,26.8,23.2,73.1,X,관심,X,높음
2022-07-13,서울(108),X,29,27.1,25,24,93.9,X, ,X,보통
2022-07-14,서울(108),X,30.9,29.9,25.7,23.3,84.6,X, ,X,높음
2022-07-15,서울(108),X,30.9,30.3,26,23,76.5,X,관심,X,높음
2022-07-16,서울(108),X,29.5,28.2,24.8,23.2,83.4,X,관심,X,높음
2022-07-17,서울(108),X,30.6,29.7,25.5,22.5,78.9,X,관심,X,보통
2022-07-18,서울(108),X,31.1,30.1,26.8,23.1,76,X, ,X,높음
2022-07-19,서울(108),X,31.6,31.1,27.4,24.3,74.1,X,관심,X,매우높음
2022-07-20,서울(108),X,30.9,30.4,27.1,24.3,76.1,X,관심,X,높음
2022-07-21,서울(108),X,27.2,25.2,23.2,20.8,87.6,X,관심,X,보통
2022-07-22,서울(108),X,29.4,27.5,25.1,22.9,81.5,X, ,X,보통
2022-07-23,서울(108),X,29.3,28,24.8,22.3,83.6,X, ,X,높음
2022-07-24,서울(108),X,30.1,28.4,25,22,86.9,X,관심,X,보통
2022-07-25,서울(108),X,32.2,32,27.5,23.6,75,O,관심,X,매우높음
2022-07-26,서울(108),O,33.2,33.1,28.9,24.4,72.5,O,주의,O,매우높음
2022-07-27,서울(108),O,33.4,33.4,29.3,26.4,66.3,O,주의,O,매우높음
2022-07-28,서울(108),O,34.1,34.4,29.7,25.1,63.8,O,주의,O,높음
2022-07-29,서울(108),O,34.5,34.3,30.7,27.3,68.1,O,주의,O,매우높음
2022-07-30,서울(108),O,35.7,36.1,30.9,27.3,68.4,O,경고,O,매우높음
2022-07-31,서울(108),X,30.8,29,27.2,25.4,85.8,X,경고,O,보통
2022-08-01,서울(108),O,33.8,32.4,28.6,25.4,82.4,X,관심,O,높음
2022-08-02,서울(108),X,30.6,28.5,26.8,25.5,90,X,관심,O,높음
2022-08-03,서울(108),X,32,30,27.1,25.2,90.1,X,관심,O,보통
2022-08-04,서울(108),O,33.9,32.9,28.9,26,79.3,O,관심,O,높음
2022-08-05,서울(108),O,33.6,32.7,29.4,27,76.6,O,주의,O,높음
2022-08-06,서울(108),X,32.5,30.3,28.7,27.4,85.3,O,주의,O,보통
2022-08-07,서울(108),O,33.4,31.7,28.9,27.2,82.1,O,주의,O,보통
2022-08-08,서울(108),X,30.9,28.4,26.8,,91.6,X,주의,O,보통
2022-08-09,서울(108),X,29.6,26.5,25.1,22,96,X, ,X,보통
2022-08-10,서울(108),X,30.1,28.8,24.7,21.4,85.3,X, ,X,보통
2022-08-11,서울(108),X,29.5,27.5,25,23.4,87.9,X, ,X,보통
2022-08-12,서울(108),X,31.9,32.4,27,23,73.8,X,관심,O,매우높음
2022-08-13,서울(108),X,29.8,27.5,25.8,24.7,82.8,X,관심,X,보통
2022-08-14,서울(108),X,32.9,31.5,27.6,24.5,83,O,관심,O,보통
2022-08-15,서울(108),X,31.6,29.8,28.1,26.6,83,O,주의,X,보통
2022-08-16,서울(108),X,30.8,30,26.7,24.1,75.4,X,주의,X,매우높음
2022-08-17,서울(108),X,31.5,30.5,26,22.8,76.6,X,관심,X,높음
2022-08-18,서울(108),X,30.2,29.8,25.6,22.4,75.8,X,관심,X,보통
2022-08-19,서울(108),X,30.3,27.5,26,23.3,86.1,X, ,O,낮음
2022-08-20,서울(108),X,32.9,32,28.2,25.7,80,O, ,X,낮음
2022-08-21,서울(108),X,32.8,32,28.1,24.7,75.3,O,주의,O,낮음
2022-08-22,서울(108),X,31.2,30.2,26.8,22.9,75.6,X,주의,X,보통
2022-08-23,서울(108),X,30.6,30.2,25.4,22.4,75,X,관심,X,높음
2022-08-24,서울(108),X,28.6,27.9,24.8,22.4,66.9,X, ,X,보통
2022-08-25,서울(108),X,26.1,24,22.2,21.1,78,X, ,X,보통
2022-08-26,서울(108),X,28.8,28.4,23.8,19.9,75.3,X, ,X,매우높음
2022-08-27,서울(108),X,25.4,25.5,21.5,17.6,63.1,X, ,X,매우높음
2022-08-28,서울(108),X,27.1,28.4,22.6,16.1,59.4,X, ,X,매우높음
2022-08-29,서울(108),X,24,22.5,21,19.5,74,X, ,X,보통
2022-08-30,서울(108),X,22.8,20.3,19.1,17.9,96.3,X, ,X,낮음
2022-08-31,서울(108),X,26.4,24.9,21.7,19.6,83.3,X, ,X,높음
2022-09-01,서울(108),X,30.1,30.4,24,18.3,70.8,X, ,X,매우높음
2022-09-02,서울(108),X,29.4,29.8,24.7,20.3,61.8,X, ,X,높음
2022-09-03,서울(108),X,29.4,29.2,24.2,20.5,63,X, ,X,보통
2022-09-04,서울(108),X,27.3,24,22.3,19.8,88.6,X, ,X,낮음
2022-09-05,서울(108),X,25.8,22.7,19.2,17.7,95.9,X, ,X,보통
2022-09-06,서울(108),X,25.9,26.3,21,17,78,X, ,X,높음
2022-09-07,서울(108),X,26.9,28.1,22.8,17.9,65.3,X, ,X,높음
2022-09-08,서울(108),X,28.5,29.5,23.2,16.7,65.5,X, ,X,매우높음
2022-09-09,서울(108),X,29.4,30.8,24.3,18.9,59.1,X, ,X,매우높음
2022-09-10,서울(108),X,27.4,28.4,23.6,19,52.3,X, ,X,높음
2022-09-11,서울(108),X,26.7,26.4,23.3,20.6,68.6,X, ,X,보통
2022-09-12,서울(108),X,28.3,27.5,23.8,20.3,76.1,X, ,X,높음
2022-09-13,서울(108),X,27.5,26.4,24.3,21.8,73,X, ,X,보통
2022-09-14,서울(108),X,27.9,27.9,24.6,22.7,56.9,X, ,X,보통
