일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
2021-05-31,서울(108),X,25.2,23.8,19.9,16.5,78.9,X, ,X,보통
2021-06-01,서울(108),X,25.1,23.9,20.2,15.9,74.6,X, ,X,보통
2021-06-02,서울(108),X,28.8,29.7,23.2,16.6,64.4,X, ,X,매우높음
2021-06-03,서울(108),X,24.1,22.7,19.1,14.6,80.8,X, ,X,보통
2021-06-04,서울(108),X,23.2,23.6,18.5,13.3,69.4,X, ,X,매우높음
2021-06-05,서울(108),X,26,25.7,20.8,17,68.1,X, ,X,매우높음
2021-06-06,서울(108),X,28.4,28.2,23,18.4,69.6,X, ,X,높음
2021-06-07,서울(108),X,25,24,21.1,19.4,71.5,X, ,X,보통
2021-06-08,서울(108),X,29.6,29.5,23.6,18.8,69.6,X, ,X,높음
2021-06-09,서울(108),X,30.7,31.6,25.8,19.5,59.1,X, ,X,매우높음
2021-06-10,서울(108),X,29.6,29.8,24.9,20.5,68.5,X, ,X,보통
2021-06-11,서울(108),X,26.3,24.4,21.5,19.9,84.5,X, ,X,보통
2021-06-12,서울(108),X,30.7,30.2,24.2,18.2,74.6,X, ,X,매우높음
2021-06-13,서울(108),X,30.3,29.7,24.8,20.9,72.6,X, ,X,매우높음
2021-06-14,서울(108),X,30.8,30.2,24.8,18.9,68.8,X,관심,X,매우높음
2021-06-15,서울(108),X,27,25.3,22.5,21.5,79.1,X, ,X,보통
2021-06-16,서울(108),X,28.9,28.9,24.3,20.3,59.9,X, ,X,높음
2021-06-17,서울(108),X,26,25,21.9,19.6,71.4,X, ,X,보통
2021-06-18,서울(108),X,24.1,21.4,20,19,92.1,X, ,X,보통
2021-06-19,서울(108),X,28.2,27.4,22.3,17.5,74,X, ,X,매우높음
2021-06-20,서울(108),X,29.2,29,22.9,17.6,73.3,X, ,X,매우높음
2021-06-21,서울(108),X,28.5,28.5,23.6,19.2,67,X, ,X,매우높음
2021-06-22,서울(108),X,28.3,28.6,22.8,19.7,67.9,X, ,X,보통
2021-06-23,서울(108),X,28,27.9,22.4,18.8,70.5,X, ,X,보통
2021-06-24,서울(108),X,28.7,28,23,18.5,71.1,X, ,X,보통
2021-06-25,서울(108),X,29.6,29.5,24.1,19.5,69,X, ,X,높음
2021-06-26,서울(108),X,28.1,26.7,22.8,19.9,78.5,X, ,X,보통
2021-06-27,서울(108),X,30.7,30.8,24.5,19.8,72.1,X,관심,X,매우높음
2021-06-28,서울(108),X,30.2,29.2,23.7,21,76.4,X,관심,X,보통
2021-06-29,서울(108),X,29.3,28.4,23.9,21.3,78.6,X, ,X,높음
2021-06-30,서울(108),X,29.7,28.8,24.3,21,77.9,X, ,X,높음
2021-07-01,서울(108),X,31.3,31,26.3,21.4,70.9,O,관심,X,매우높음
2021-07-02,서울(108),X,31.9,31.8,27.1,23.6,64.1,O,주의,X,매우높음
2021-07-03,서울(108),X,27.1,25.7,22.6,19.6,80,X, ,X,보통
2021-07-04,서울(108),X,26.8,23.1,21.4,19.8,96.8,X, ,X,보통
2021-07-05,서울(108),X,28.4,26.9,23.3,20.1,80.3,X, ,X,보통
2021-07-06,서울(108),X,30.7,30.1,25.3,21,73.4,X, ,X,매우높음
2021-07-07,서울(108),X,30.8,29.1,26.4,23.9,78.5,X,관심,X,높음
2021-07-08,서울(108),X,31.5,29.8,26,23.8,81.6,X,관심,X,보통
2021-07-09,서울(108),X,30.6,29.2,25.5,23.6,77.3,X,관심,X,높음
2021-07-10,서울(108),X,30.6,29.2,25.9,23.1,80.4,O,관심,X,높음
2021-07-11,서울(108),X,30.3,27.5,25.7,24.1,86.8,O,주의,X,보통
2021-07-12,서울(108),O,33.6,32.5,28.1,23.8,75.1,O,주의,O,높음
2021-07-13,서울(108),X,32.9,31.5,28.8,26.3,76.1,O,주의,O,높음
2021-07-14,서울(108),O,34.4,33.5,29.7,26.1,71.4,O,경고,O,높음
2021-07-15,서울(108),O,35,34.5,29.1,25.9,71.1,O,경고,X,매우높음
2021-07-16,서울(108),O,35.2,35.2,28.8,24.2,68.4,O,경고,X,높음
2021-07-17,서울(108),O,33.2,32.8,29.1,24.7,63.1,O,경고,O,높음
2021-07-18,서울(108),O,33.9,34.1,29.6,25.7,62.5,O,경고,O,높음
2021-07-19,서울(108),X,31.7,30.5,26.4,24,80.1,O,경고,X,매우높음
2021-07-20,서울(108),O,33,31.8,27.9,23.6,75.8,O,경고,O,높음
2021-07-21,서울(108),O,35,35.3,30.5,25.3,64,O,경고,O,매우높음
2021-07-22,서울(108),O,34.7,35.9,31.2,26.5,59.8,O,경고,O,매우높음
2021-07-23,서울(108),O,35.3,35.8,31.2,27.2,61.8,O,경고,O,매우높음
2021-07-24,서울(108),O,35.5,36.5,31.7,26.9,57.4,O,경고,O,매우높음
2021-07-25,서울(108),O,35.1,35.9,31.5,27.2,55.8,O,경고,O,매우높음
2021-07-26,서울(108),O,34.9,35.4,31.2,27.4,54.9,O,경고,O,매우높음
2021-07-27,서울(108),O,35.4,35.7,31.1,27.8,60.5,O,경고,O,매우높음
2021-07-28,서울(108),O,35.1,34.7,30.4,27.1,67.4,O,경고,O,매우높음
2021-07-29,서울(108),O,34.3,33.3,29.6,27,69.9,O,경고,O,매우높음
2021-07-30,서울(108),O,34.9,35.4,30.5,25.8,63.1,O,경고,O,매우높음
2021-07-31,서울(108),O,34.7,34.3,29.8,26.8,69.9,O,경고,O,높음
2021-08-01,서울(108),X,31.5,28.8,27.1,25.1,81.8,O,주의,O,보통
2021-08-02,서울(108),X,30.5,28.6,26.5,25,82.6,O,주의,X,보통
2021-08-03,서울(108),X,32.9,31.4,28,24.1,76.9,O,주의,O,높음
2021-08-04,서울(108),O,33.8,33.2,28.9,26.3,70.6,O,주의,O,높음
2021-08-05,서울(108),O,34.2,33.7,29.4,25.6,68.1,O,경고,O,매우높음
2021-08-06,서울(108),O,33.3,32.2,28.1,26,68.4,O,경고,X,보통
2021-08-07,서울(108),X,32.4,32.3,28,23.4,65,O,경고,X,매우높음
2021-08-08,서울(108),O,33,32.1,26.8,24.4,74.8,O,경고,X,높음
2021-08-09,서울(108),O,33.1,33.6,28.3,23.3,62.4,O,경고,X,높음
2021-08-10,서울(108),X,32.2,32.2,27.7,24.3,62.5,O,경고,X,높음
2021-08-11,서울(108),X,32.3,31.6,27.4,24.1,70.3,O,주의,X,높음
2021-08-12,서울(108),X,32.4,31.7,26.8,24,67.1,O,주의,X,높음
2021-08-13,서울(108),X,31.1,30.1,26.6,23.4,70.4,O,주의,X,높음
2021-08-14,서울(108),X,30.7,30.5,26.1,23.4,63.9,X,관심,X,보통
2021-08-15,서울(108),X,31.8,32.4,26.9,21.7,59.6,X,관심,X,매우높음
2021-08-16,서울(108),X,31.9,32.8,27.3,22.5,61.1,X,관심,X,매우높음
2021-08-17,서울(108),X,31.1,31.3,25.9,21.9,65,X,관심,X,높음
2021-08-18,서울(108),X,30.9,31,24.3,20.6,69.6,X,관심,X,높음
2021-08-19,서울(108),X,30.9,31.5,26,21,57.1,X,관심,X,매우높음
2021-08-20,서울(108),X,30.9,30.7,26.6,22.6,63.6,X,관심,X,높음
2021-08-21,서울(108),X,28.1,25.5,23.8,21,88.1,X, ,X,보통
2021-08-22,서울(108),X,28.5,27,24.4,22.4,81.5,X, ,X,높음
2021-08-23,서울(108),X,26.9,24,22.4,21,89.3,X, ,X,보통
2021-08-24,서울(108),X,29.8,26.4,23.4,21.1,93.6,X, ,X,보통
2021-08-25,서울(108),X,29.5,27.3,25,23.5,85.5,X, ,X,보통
2021-08-26,서울(108),X,30.4,27.9,25.5,22.9,84.9,X, ,X,보통
2021-08-27,서울(108),X,28.3,25.5,22.4,20.4,83.5,X, ,X,보통
2021-08-28,서울(108),X,29.2,28.2,23.6,19.7,80.4,X, ,X,높음
2021-08-29,서울(108),X,28.1,26.3,23.7,21.9,82.6,X, ,X,보통
2021-08-30,서울(108),X,28.9,27.7,24.2,21.2,77.5,X, ,X,매우높음
2021-08-31,서울(108),X,26.1,23.1,20.5,18.1,93.3,X, ,X,보통
2021-09-01,서울(108),X,26,23.9,21.4,18.5,83.1,X, ,X,보통
2021-09-02,서울(108),X,27.6,26.7,23.5,20.7,70.3,X, ,X,보통
2021-09-03,서울(108),X,28.6,29.2,24.3,20.6,60.3,X, ,X,매우높음
2021-09-04,서울(108),X,28.6,28.6,23.2,18.5,57,X, ,X,매우높음
2021-09-05,서울(108),X,27.7,27.3,23.1,19.4,61.1,X, ,X,높음
2021-09-06,서울(108),X,26.8,26.4,22.3,18,70.1,X, ,X,높음
2021-09-07,서울(108),X,24.6,20.9,19.6,17.6,98.1,X, ,X,보통
2021-09-08,서울(108),X,28,26.9,22.2,19,81.3,X, ,X,높음
2021-09-09,서울(108),X,29.4,29.1,23.5,19.1,76.5,X, ,X,높음
2021-09-10,서울(108),X,29.2,28.9,23.6,19.5,76,X, ,X,보통
2021-09-11,서울(108),X,29.7,29.4,24,19.9,73.1,X, ,X,높음
2021-09-12,서울(108),X,29.6,29.8,24.2,19.2,64.6,X, ,X,높음
2021-09-13,서울(108),X,30.7,30.3,24.8,20.8,67.1,X, ,X,높음
2021-09-14,서울(108),X,29.1,29.5,24.6,20,63.3,X, ,X,높음
2021-09-15,서울(108),X,28.6,28.9,23.6,19.5,57.5,X, ,X,높음
2021-09-16,서울(108),X,27.3,27.3,22.9,18,61.1,X, ,X,높음
2021-09-17,서울(108),X,28.2,28.2,23.5,20.5,61.4,X, ,X,높음
2021-09-18,서울(108),X,29.6,29.8,23.9,18.9,65.1,X, ,X,높음
2021-09-19,서울(108),X,28.5,27.8,23.7,20.8,62.9,X, ,X,보통
2021-09-20,서울(108),X,28.4,28.4,23.7,19,63.6,X, ,X,높음
2021-09-21,서울(108),X,27.5,26.2,22,17.4,85.1,X, ,X,보통
2021-09-22,서울(108),X,25.5,24.3,20.2,16.8,79,X, ,X,보통
2021-09-23,서울(108),X,26.1,25.9,20.9,16.9,67.3,X, ,X,보통
2021-09-24,서울(108),X,27,26.9,21.8,16.7,67.5,X, ,X,높음
2021-09-25,서울(108),X,24.8,23.1,21.2,18.7,72.6,X, ,X,보통
2021-09-26,서울(108),X,27.6,27.3,22.6,18.4,63,X, ,X,보통
2021-09-27,서울(108),X,25.7,25,21.6,18.7,66,X, ,X,보통
2021-09-28,서울(108),X,25.5,24.4,21.5,19.6,75.1,X, ,X,보통
2021-09-29,서울(108),X,24.9,21.4,20.2,17.8,93.5,X, ,X,보통
2021-09-30,서울(108),X,27.3,25.9,20.3,16,83.9,X, ,X,높음
