일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
2021-05-01,서울(108),X,15.9,15.3,10.2,8.5,80.8,X, ,X,보통
2021-05-02,서울(108),X,19.1,18.7,12.4,7.3,67.9,X, ,X,높음
2021-05-03,서울(108),X,19.2,20.3,14.1,8.4,56.4,X, ,X,매우높음
2021-05-04,서울(108),X,19.3,15.8,13.8,11.4,82.6,X, ,X,보통
2021-05-05,서울(108),X,18.3,18.4,13.9,10.3,64.4,X, ,X,높음
2021-05-06,서울(108),X,22.4,23.1,15.7,7.9,46.4,X, ,X,높음
2021-05-07,서울(108),X,18.3,17.2,14.4,10.7,60.3,X, ,X,높음
2021-05-08,서울(108),X,20.6,21,14.3,8.9,66.1,X, ,X,매우높음
2021-05-09,서울(108),X,20.1,21.8,15.7,10,51.3,X, ,X,매우높음
2021-05-10,서울(108),X,16.3,14.6,13.2,11.7,67.9,X, ,X,보통
2021-05-11,서울(108),X,24,25.7,18.5,9.4,48.9,X, ,X,매우높음
2021-05-12,서울(108),X,26,27.7,22,16.9,39.5,X, ,X,높음
2021-05-13,서울(108),X,28.5,29.6,22.9,16.6,54.4,X, ,X,매우높음
2021-05-14,서울(108),X,29.6,30.8,24.1,18,60.3,X, ,X,매우높음
2021-05-15,서울(108),X,27.2,26.2,22.1,20.8,79.5,X, ,X,보통
2021-05-16,서울(108),X,24.4,20.8,18.4,14.8,97.6,X, ,X,보통
2021-05-17,서울(108),X,19.7,16.7,15.3,14.2,93,X, ,X,보통
2021-05-18,서울(108),X,25.1,24.5,17.9,13.6,70.5,X, ,X,매우높음
2021-05-19,서울(108),X,25.4,26.6,19.9,12.4,52.3,X, ,X,매우높음
2021-05-20,서울(108),X,23.3,22.9,18.7,15.6,59.8,X, ,X,보통
2021-05-21,서울(108),X,20.4,18.2,16,14.2,86.5,X, ,X,보통
2021-05-22,서울(108),X,24.5,23.8,18.6,13.8,69.3,X, ,X,매우높음
2021-05-23,서울(108),X,25.3,25.1,19.5,14.3,64.4,X, ,X,높음
2021-05-24,서울(108),X,24.4,24.5,19.4,16.4,61,X, ,X,매우높음
2021-05-25,서울(108),X,20.4,19.3,15.3,11.9,72.3,X, ,X,높음
2021-05-26,서울(108),X,22.2,23,18,11.5,58.5,X, ,X,높음
2021-05-27,서울(108),X,21.2,18.7,15.8,13.9,83,X, ,X,보통
2021-05-28,서울(108),X,21.6,19.7,15.3,12.4,86,X, ,X,보통
2021-05-29,서울(108),X,20.6,19.1,15.4,12.8,79.8,X, ,X,매우높음
2021-05-30,서울(108),X,25.8,26.3,18.4,10.8,73,X, ,X,매우높음
